Proceso,Tiempo de Inicio,Tiempo de Finalización
Proceso 1,1,3
Proceso 2,2,5
Proceso 0,0,7
Proceso 5,5,19
Proceso 3,3,21
Proceso 13,13,25
Proceso 8,8,29
Proceso 4,4,31
Proceso 6,6,47
Proceso 7,7,51
Proceso 29,29,56
Proceso 15,15,57
Proceso 31,31,59
Proceso 16,16,60
Proceso 9,9,63
Proceso 35,35,66
Proceso 37,37,70
Proceso 19,19,73
Proceso 41,41,78
Proceso 21,21,80
Proceso 23,23,85
Proceso 26,26,94
Proceso 14,14,96
Proceso 28,28,97
Proceso 30,30,100
Proceso 33,33,109
Proceso 50,50,110
Proceso 17,17,113
Proceso 51,51,114
Proceso 10,10,117
Proceso 18,18,120
Proceso 53,53,122
Proceso 39,39,125
Proceso 11,11,126
Proceso 40,40,127
Proceso 20,20,128
Proceso 55,55,129
Proceso 12,12,130
Proceso 22,22,131
Proceso 56,56,132
Proceso 42,42,133
Proceso 25,25,135
Proceso 43,43,136
Proceso 27,27,137
Proceso 45,45,143
Proceso 34,34,154
Proceso 61,61,155
Proceso 36,36,156
Proceso 38,38,162
Proceso 54,54,166
Proceso 67,67,168
Proceso 69,69,171
Proceso 24,24,174
Proceso 72,72,175
Proceso 58,58,181
Proceso 59,59,182
Proceso 77,77,186
Proceso 47,47,189
Proceso 48,48,190
Proceso 49,49,191
Proceso 32,32,192
Proceso 60,60,193
Proceso 82,82,197
Proceso 62,62,198
Proceso 63,63,201
Proceso 68,68,212
Proceso 87,87,213
Proceso 75,75,226
Proceso 57,57,227
Proceso 44,44,230
Proceso 78,78,234
Proceso 46,46,235
Proceso 99,99,240
Proceso 52,52,250
Proceso 64,64,254
Proceso 65,65,255
Proceso 66,66,256
Proceso 85,85,257
Proceso 86,86,258
Proceso 89,89,262
Proceso 70,70,263
Proceso 90,90,265
Proceso 92,92,268
Proceso 73,73,269
Proceso 74,74,270
Proceso 94,94,276
Proceso 108,108,280
Proceso 97,97,283
Proceso 79,79,287
Proceso 80,80,288
Proceso 81,81,289
Proceso 111,111,296
Proceso 83,83,299
Proceso 113,113,303
Proceso 116,116,307
Proceso 118,118,314
Proceso 119,119,315
Proceso 120,120,316
Proceso 71,71,317
Proceso 91,91,318
Proceso 122,122,320
Proceso 106,106,326
Proceso 76,76,329
Proceso 96,96,334
Proceso 98,98,335
Proceso 128,128,337
Proceso 129,129,338
Proceso 100,100,339
Proceso 102,102,342
Proceso 110,110,343
Proceso 103,103,345
Proceso 84,84,346
Proceso 112,112,347
Proceso 104,104,352
Proceso 88,88,355
Proceso 121,121,364
Proceso 107,107,370
Proceso 93,93,371
Proceso 138,138,372
Proceso 95,95,373
Proceso 126,126,374
Proceso 140,140,380
Proceso 141,141,381
Proceso 101,101,386
Proceso 146,146,389
Proceso 130,130,390
Proceso 115,115,394
Proceso 148,148,395
Proceso 105,105,396
Proceso 117,117,399
Proceso 132,132,400
Proceso 133,133,401
Proceso 134,134,402
Proceso 124,124,408
Proceso 125,125,409
Proceso 137,137,410
Proceso 127,127,411
Proceso 109,109,413
Proceso 143,143,415
Proceso 144,144,416
Proceso 145,145,417
Proceso 131,131,419
Proceso 114,114,420
Proceso 149,149,421
Proceso 135,135,422
Proceso 136,136,423
Proceso 123,123,424
Proceso 139,139,425
Proceso 142,142,426
Proceso 147,147,428
