Proceso,Tiempo de Inicio,Tiempo de Finalización
Proceso 0,0,4
Proceso 3,3,9
Proceso 4,4,10
Proceso 7,7,15
Proceso 1,1,16
Proceso 8,8,17
Proceso 2,2,26
Proceso 14,14,29
Proceso 16,16,32
Proceso 10,10,38
Proceso 12,12,49
Proceso 25,25,50
Proceso 6,6,54
Proceso 31,31,61
Proceso 17,17,63
Proceso 9,9,67
Proceso 35,35,68
Proceso 36,36,70
Proceso 19,19,71
Proceso 40,40,78
Proceso 5,5,83
Proceso 22,22,86
Proceso 24,24,95
Proceso 49,49,98
Proceso 26,26,99
Proceso 13,13,100
Proceso 27,27,101
Proceso 20,20,114
Proceso 21,21,116
Proceso 41,41,117
Proceso 42,42,118
Proceso 44,44,120
Proceso 23,23,123
Proceso 46,46,124
Proceso 11,11,125
Proceso 47,47,126
Proceso 28,28,128
Proceso 29,29,129
Proceso 30,30,130
Proceso 15,15,131
Proceso 32,32,132
Proceso 34,34,134
Proceso 18,18,135
Proceso 38,38,137
Proceso 43,43,140
Proceso 45,45,141
Proceso 33,33,144
Proceso 37,37,145
Proceso 39,39,146
Proceso 48,48,147
