Proceso,Tiempo de Inicio,Tiempo de Finalización
Proceso 0,0,1
Proceso 1,9,14
Proceso 2,11,14
Proceso 3,20,23
Proceso 4,21,26
Proceso 5,24,27
Proceso 6,32,36
Proceso 7,36,38
Proceso 8,45,46
Proceso 9,50,51
Proceso 10,53,54
Proceso 11,57,59
Proceso 12,64,68
Proceso 13,66,68
Proceso 14,75,76
Proceso 15,83,86
Proceso 17,85,87
Proceso 16,84,88
Proceso 18,89,90
Proceso 20,100,103
Proceso 19,99,104
Proceso 21,105,107
Proceso 22,113,115
Proceso 23,117,120
Proceso 24,126,127
Proceso 25,130,133
Proceso 26,140,143
Proceso 27,149,152
Proceso 28,155,157
Proceso 29,158,159
Proceso 30,166,168
Proceso 31,174,175
Proceso 32,178,179
Proceso 33,188,191
Proceso 34,192,193
Proceso 35,196,198
Proceso 36,201,204
Proceso 37,208,209
Proceso 38,214,217
Proceso 39,224,228
Proceso 40,226,228
Proceso 41,227,232
Proceso 42,230,232
Proceso 43,236,240
Proceso 44,246,249
Proceso 45,250,252
Proceso 46,260,261
Proceso 47,267,269
Proceso 48,270,274
Proceso 49,272,276
Proceso 50,275,277
Proceso 51,279,280
Proceso 52,289,292
Proceso 53,291,293
Proceso 54,298,301
Proceso 55,307,310
Proceso 56,315,319
Proceso 57,321,324
Proceso 58,327,328
Proceso 59,328,331
Proceso 60,338,340
Proceso 61,344,347
Proceso 62,354,356
Proceso 63,361,362
Proceso 64,364,366
Proceso 65,366,367
Proceso 66,370,373
Proceso 67,374,375
Proceso 68,376,379
Proceso 69,384,388
Proceso 70,391,392
Proceso 71,395,396
Proceso 72,399,400
Proceso 73,405,409
Proceso 74,413,416
Proceso 75,423,425
Proceso 76,431,436
Proceso 77,437,440
Proceso 78,439,441
Proceso 79,441,446
Proceso 80,447,450
Proceso 81,451,456
Proceso 82,457,461
Proceso 83,458,462
Proceso 84,465,470
Proceso 85,471,472
Proceso 86,477,479
Proceso 87,487,491
Proceso 88,492,493
Proceso 89,501,504
Proceso 90,508,509
Proceso 91,518,520
Proceso 92,522,527
Proceso 93,532,533
Proceso 94,538,541
Proceso 95,541,542
Proceso 96,542,544
Proceso 97,549,550
Proceso 98,553,557
Proceso 99,555,558
