Proceso,Tiempo de Inicio,Tiempo de Finalización
Proceso 0,0,7
Proceso 2,2,13
Proceso 6,6,14
Proceso 3,3,18
Proceso 9,9,19
Proceso 4,4,20
Proceso 13,13,27
Proceso 14,14,28
Proceso 7,7,31
Proceso 19,19,37
Proceso 10,10,39
Proceso 21,21,40
Proceso 1,1,41
Proceso 11,11,43
Proceso 25,25,51
Proceso 8,8,53
Proceso 18,18,55
Proceso 20,20,57
Proceso 22,22,67
Proceso 5,5,68
Proceso 23,23,70
Proceso 24,24,71
Proceso 15,15,72
Proceso 17,17,76
Proceso 36,36,78
Proceso 26,26,80
Proceso 38,38,81
Proceso 39,39,82
Proceso 31,31,88
Proceso 40,40,91
Proceso 12,12,92
Proceso 34,34,99
Proceso 16,16,100
Proceso 37,37,104
Proceso 45,45,105
Proceso 27,27,108
Proceso 28,28,109
Proceso 29,29,110
Proceso 30,30,111
Proceso 32,32,112
Proceso 35,35,123
Proceso 33,33,127
Proceso 41,41,130
Proceso 42,42,131
Proceso 49,49,133
Proceso 44,44,134
Proceso 46,46,135
Proceso 48,48,137
Proceso 43,43,138
Proceso 47,47,139
