Proceso,Tiempo de Inicio,Tiempo de Finalización
Proceso 0,0,2
Proceso 3,3,5
Proceso 1,1,6
Proceso 4,4,6
Proceso 6,6,8
Proceso 2,2,10
Proceso 9,9,12
Proceso 5,5,13
Proceso 8,8,14
Proceso 10,10,16
Proceso 13,13,16
Proceso 14,14,17
Proceso 7,7,18
Proceso 15,15,19
Proceso 16,16,20
Proceso 11,11,20
Proceso 18,18,21
Proceso 12,12,22
Proceso 19,19,22
Proceso 20,20,25
Proceso 17,17,25
Proceso 23,23,28
Proceso 26,26,29
Proceso 27,27,31
Proceso 25,25,31
Proceso 21,21,32
Proceso 22,22,33
Proceso 24,24,34
Proceso 32,32,36
Proceso 29,29,36
Proceso 34,34,38
Proceso 28,28,39
Proceso 35,35,40
Proceso 30,30,41
Proceso 38,38,43
Proceso 31,31,43
Proceso 39,39,44
Proceso 36,36,49
Proceso 37,37,51
Proceso 33,33,51
Proceso 46,46,52
Proceso 47,47,53
Proceso 43,43,53
Proceso 44,44,55
Proceso 42,42,57
Proceso 40,40,57
Proceso 49,49,58
Proceso 41,41,59
Proceso 45,45,59
Proceso 48,48,60
