Proceso,Tiempo de Inicio,Tiempo de Finalización
Proceso 0,0,6
Proceso 2,6,8
Proceso 1,5,10
Proceso 3,7,10
Proceso 4,11,15
Proceso 5,14,16
Proceso 6,18,20
Proceso 7,20,21
Proceso 8,21,24
Proceso 10,23,25
Proceso 9,22,27
Proceso 11,26,31
Proceso 12,29,31
Proceso 13,31,36
Proceso 14,34,36
Proceso 15,38,41
Proceso 16,42,45
Proceso 17,44,48
Proceso 18,49,50
Proceso 19,50,54
Proceso 20,51,54
Proceso 21,53,55
Proceso 22,56,59
Proceso 23,58,60
Proceso 24,60,62
Proceso 25,64,65
Proceso 26,67,68
Proceso 27,68,72
Proceso 28,72,74
Proceso 29,74,78
Proceso 30,77,79
Proceso 31,78,79
Proceso 32,82,86
Proceso 33,86,89
Proceso 35,89,91
Proceso 34,88,92
Proceso 36,92,95
Proceso 37,96,99
Proceso 38,98,101
Proceso 39,102,105
Proceso 41,104,109
Proceso 40,103,109
Proceso 42,109,112
Proceso 43,114,115
Proceso 44,115,118
Proceso 45,117,118
Proceso 46,118,120
Proceso 47,119,120
Proceso 48,122,125
Proceso 49,126,128
Proceso 51,130,132
Proceso 50,129,134
Proceso 52,132,134
Proceso 53,133,136
Proceso 54,135,139
Proceso 55,140,143
Proceso 56,141,145
Proceso 57,145,146
Proceso 58,146,147
Proceso 59,147,148
Proceso 60,152,155
Proceso 61,153,155
Proceso 62,158,159
Proceso 63,159,162
Proceso 64,164,167
Proceso 65,169,170
Proceso 66,173,175
Proceso 67,178,181
Proceso 68,181,185
Proceso 69,183,186
Proceso 71,188,190
Proceso 70,187,191
Proceso 72,190,191
Proceso 73,191,194
Proceso 74,195,199
Proceso 75,198,199
Proceso 76,199,201
Proceso 77,204,205
Proceso 79,211,212
Proceso 78,209,213
Proceso 81,215,216
Proceso 80,214,217
Proceso 82,219,221
Proceso 83,220,223
Proceso 84,225,228
Proceso 85,227,229
Proceso 86,228,229
Proceso 87,230,231
Proceso 88,233,236
Proceso 89,235,236
Proceso 90,237,241
Proceso 91,242,243
Proceso 92,244,245
Proceso 95,249,251
Proceso 93,247,252
Proceso 94,248,253
Proceso 96,254,256
Proceso 97,255,256
Proceso 98,257,258
Proceso 99,261,262
