Proceso,Tiempo de Inicio,Tiempo de Finalización
Proceso 0,0,4
Proceso 1,4,5
Proceso 2,6,8
Proceso 3,11,12
Proceso 4,15,18
Proceso 5,19,22
Proceso 6,24,25
Proceso 7,29,31
Proceso 8,34,35
Proceso 9,36,37
Proceso 10,37,38
Proceso 11,38,41
Proceso 12,43,44
Proceso 13,46,47
Proceso 14,48,50
Proceso 15,52,54
Proceso 18,59,63
Proceso 19,60,64
Proceso 16,55,65
Proceso 17,56,66
Proceso 21,65,69
Proceso 20,63,70
Proceso 23,72,74
Proceso 22,69,75
Proceso 24,75,77
Proceso 25,79,80
Proceso 26,81,82
Proceso 28,84,86
Proceso 27,83,87
Proceso 29,85,91
Proceso 30,90,92
Proceso 31,92,97
Proceso 32,93,99
Proceso 34,99,102
Proceso 33,98,105
Proceso 35,101,109
Proceso 37,107,110
Proceso 36,106,111
Proceso 38,109,112
Proceso 40,114,116
Proceso 39,113,117
Proceso 41,115,120
Proceso 42,120,124
Proceso 43,121,125
Proceso 45,124,127
Proceso 44,123,130
Proceso 47,128,131
Proceso 46,125,137
Proceso 48,130,144
Proceso 52,142,148
Proceso 51,137,149
Proceso 50,134,150
Proceso 49,132,153
Proceso 53,146,155
Proceso 54,149,157
Proceso 56,154,158
Proceso 55,152,161
Proceso 59,161,164
Proceso 57,155,166
Proceso 58,156,169
Proceso 60,164,170
Proceso 61,169,174
Proceso 63,174,177
Proceso 64,175,178
Proceso 62,171,179
Proceso 65,179,184
Proceso 66,184,187
Proceso 67,188,190
Proceso 68,190,191
Proceso 69,195,196
Proceso 70,199,201
Proceso 71,200,206
Proceso 72,205,212
Proceso 75,211,215
Proceso 74,210,216
Proceso 73,206,217
Proceso 76,215,218
Proceso 77,220,221
Proceso 78,225,229
Proceso 80,229,231
Proceso 79,228,233
Proceso 81,234,237
Proceso 82,239,242
Proceso 83,243,244
Proceso 84,244,245
Proceso 85,247,253
Proceso 87,251,257
Proceso 86,249,260
Proceso 88,255,264
Proceso 90,263,266
Proceso 89,259,272
Proceso 91,264,273
Proceso 92,267,274
Proceso 93,272,285
Proceso 94,275,290
Proceso 99,283,291
Proceso 97,281,293
Proceso 95,277,294
Proceso 98,282,295
Proceso 96,279,297
