Proceso,Tiempo de Inicio,Tiempo de Finalización
Proceso 0,0,1
Proceso 1,4,9
Proceso 2,7,10
Proceso 3,9,12
Proceso 4,12,14
Proceso 5,16,20
Proceso 6,17,21
Proceso 7,20,21
Proceso 8,21,23
Proceso 9,23,25
Proceso 10,26,29
Proceso 11,29,30
Proceso 12,32,33
Proceso 13,37,40
Proceso 14,42,43
Proceso 15,45,47
Proceso 16,49,50
Proceso 17,50,51
Proceso 18,54,56
Proceso 19,58,61
Proceso 20,63,68
Proceso 21,65,68
Proceso 22,68,70
Proceso 23,69,71
Proceso 24,70,73
Proceso 25,72,73
Proceso 26,73,77
Proceso 27,76,77
Proceso 28,77,80
Proceso 29,80,82
Proceso 30,81,86
Proceso 31,85,86
Proceso 32,87,88
Proceso 33,92,93
Proceso 34,96,97
Proceso 35,98,100
Proceso 36,103,104
Proceso 37,105,106
Proceso 38,106,107
Proceso 39,107,109
Proceso 40,110,111
Proceso 41,112,115
Proceso 42,113,118
Proceso 43,116,120
Proceso 44,121,124
Proceso 45,125,129
Proceso 46,130,131
Proceso 47,132,133
Proceso 48,135,139
Proceso 50,139,140
Proceso 51,141,142
Proceso 49,138,143
Proceso 52,145,149
Proceso 53,149,150
Proceso 54,151,152
Proceso 55,152,153
Proceso 56,155,156
Proceso 57,158,161
Proceso 58,162,167
Proceso 59,166,168
Proceso 60,167,170
Proceso 61,168,172
Proceso 62,169,173
Proceso 63,172,175
Proceso 64,177,181
Proceso 65,182,183
Proceso 66,184,189
Proceso 67,188,192
Proceso 68,190,192
Proceso 70,195,196
Proceso 69,194,197
Proceso 71,198,201
Proceso 72,200,203
Proceso 74,206,208
Proceso 75,207,209
Proceso 73,205,209
Proceso 76,211,214
Proceso 77,212,214
Proceso 79,217,218
Proceso 78,213,219
Proceso 80,220,222
Proceso 81,225,226
Proceso 82,229,230
Proceso 83,233,236
Proceso 84,236,237
Proceso 85,237,240
Proceso 86,242,245
Proceso 87,244,248
Proceso 88,248,251
Proceso 89,250,254
Proceso 90,254,255
Proceso 91,256,258
Proceso 92,259,262
Proceso 93,262,264
Proceso 94,264,265
Proceso 95,269,272
Proceso 96,270,274
Proceso 97,275,276
Proceso 98,279,280
Proceso 99,283,285
Proceso 100,287,290
Proceso 101,291,294
Proceso 102,292,294
Proceso 104,296,299
Proceso 103,295,299
Proceso 105,301,302
Proceso 106,302,305
Proceso 107,307,310
Proceso 108,310,311
Proceso 109,314,316
Proceso 110,317,319
Proceso 111,322,323
Proceso 112,324,325
Proceso 113,326,327
Proceso 114,331,334
Proceso 115,336,340
Proceso 116,337,341
Proceso 117,340,343
Proceso 118,344,348
Proceso 119,349,351
Proceso 120,353,357
Proceso 121,358,361
Proceso 122,359,363
Proceso 123,362,363
Proceso 124,366,367
Proceso 125,368,369
Proceso 126,372,377
Proceso 127,376,377
Proceso 128,378,379
Proceso 129,382,384
Proceso 130,387,392
Proceso 131,389,392
Proceso 132,393,394
Proceso 134,399,402
Proceso 135,401,404
Proceso 133,398,405
Proceso 136,404,407
Proceso 137,407,408
Proceso 138,411,412
Proceso 139,413,417
Proceso 140,416,417
Proceso 141,419,420
Proceso 142,423,426
Proceso 143,427,428
Proceso 144,428,430
Proceso 145,432,433
Proceso 146,435,437
Proceso 147,438,440
Proceso 148,442,443
Proceso 149,447,448
