Proceso,Tiempo de Inicio,Tiempo de Finalización
Proceso 1,1,3
Proceso 0,0,4
Proceso 6,6,13
Proceso 3,3,14
Proceso 8,8,16
Proceso 4,4,17
Proceso 10,10,19
Proceso 2,2,20
Proceso 14,14,28
Proceso 7,7,29
Proceso 15,15,30
Proceso 16,16,31
Proceso 19,19,37
Proceso 21,21,39
Proceso 11,11,40
Proceso 24,24,45
Proceso 27,27,51
Proceso 17,17,54
Proceso 18,18,57
Proceso 20,20,58
Proceso 22,22,65
Proceso 5,5,67
Proceso 34,34,68
Proceso 12,12,69
Proceso 13,13,70
Proceso 25,25,71
Proceso 26,26,72
Proceso 36,36,75
Proceso 29,29,78
Proceso 9,9,79
Proceso 39,39,82
Proceso 30,30,83
Proceso 31,31,84
Proceso 32,32,85
Proceso 33,33,86
Proceso 23,23,89
Proceso 44,44,94
Proceso 35,35,96
Proceso 46,46,97
Proceso 28,28,98
Proceso 47,47,99
Proceso 37,37,100
Proceso 51,51,106
Proceso 53,53,109
Proceso 41,41,112
Proceso 42,42,113
Proceso 45,45,119
Proceso 50,50,133
Proceso 52,52,134
Proceso 64,64,136
Proceso 40,40,137
Proceso 43,43,144
Proceso 56,56,146
Proceso 62,62,156
Proceso 38,38,157
Proceso 48,48,158
Proceso 49,49,159
Proceso 54,54,162
Proceso 58,58,172
Proceso 59,59,173
Proceso 60,60,174
Proceso 61,61,175
Proceso 72,72,176
Proceso 75,75,182
Proceso 65,65,183
Proceso 66,66,184
Proceso 67,67,185
Proceso 55,55,190
Proceso 57,57,193
Proceso 73,73,200
Proceso 63,63,201
Proceso 70,70,202
Proceso 81,81,204
Proceso 68,68,206
Proceso 71,71,207
Proceso 69,69,208
Proceso 78,78,212
Proceso 83,83,216
Proceso 74,74,223
Proceso 82,82,228
Proceso 76,76,234
Proceso 77,77,235
Proceso 79,79,236
Proceso 86,86,243
Proceso 87,87,244
Proceso 88,88,245
Proceso 96,96,248
Proceso 92,92,250
Proceso 98,98,254
Proceso 100,100,257
Proceso 80,80,258
Proceso 94,94,259
Proceso 95,95,260
Proceso 84,84,261
Proceso 85,85,262
Proceso 102,102,264
Proceso 89,89,265
Proceso 91,91,270
Proceso 105,105,271
Proceso 106,106,272
Proceso 93,93,273
Proceso 109,109,279
Proceso 112,112,282
Proceso 90,90,286
Proceso 114,114,290
Proceso 108,108,298
Proceso 120,120,302
Proceso 121,121,309
Proceso 103,103,310
Proceso 104,104,311
Proceso 115,115,315
Proceso 97,97,318
Proceso 107,107,319
Proceso 99,99,320
Proceso 118,118,322
Proceso 119,119,323
Proceso 110,110,325
Proceso 111,111,326
Proceso 101,101,327
Proceso 113,113,328
Proceso 122,122,332
Proceso 116,116,335
Proceso 117,117,336
Proceso 124,124,339
Proceso 131,131,340
Proceso 132,132,342
Proceso 136,136,346
Proceso 123,123,351
Proceso 129,129,356
Proceso 125,125,362
Proceso 142,142,363
Proceso 143,143,364
Proceso 135,135,367
Proceso 137,137,368
Proceso 128,128,372
Proceso 138,138,373
Proceso 144,144,374
Proceso 145,145,375
Proceso 130,130,376
Proceso 139,139,377
Proceso 140,140,378
Proceso 148,148,383
Proceso 149,149,384
Proceso 133,133,385
Proceso 134,134,386
Proceso 126,126,387
Proceso 127,127,388
Proceso 141,141,389
Proceso 147,147,392
Proceso 146,146,395
