Proceso,Tiempo de Inicio,Tiempo de Finalización
Proceso 0,0,2
Proceso 1,8,11
Proceso 2,16,19
Proceso 3,17,20
Proceso 4,27,28
Proceso 5,31,36
Proceso 6,39,45
Proceso 7,47,51
Proceso 8,56,57
Proceso 9,60,62
Proceso 10,61,64
Proceso 11,64,67
Proceso 12,71,72
Proceso 13,74,76
Proceso 14,83,86
Proceso 15,87,90
Proceso 16,88,92
Proceso 17,95,98
Proceso 18,99,102
Proceso 19,105,109
Proceso 20,106,109
Proceso 21,115,118
Proceso 22,123,124
Proceso 23,131,133
Proceso 24,137,142
Proceso 25,140,142
Proceso 26,149,153
Proceso 27,154,155
Proceso 28,155,156
Proceso 29,159,162
Proceso 30,167,170
Proceso 31,176,177
Proceso 32,181,182
Proceso 34,186,187
Proceso 33,185,190
Proceso 35,189,193
Proceso 36,197,198
Proceso 37,198,199
Proceso 38,206,211
Proceso 39,210,213
Proceso 40,220,224
Proceso 41,229,232
Proceso 42,230,234
Proceso 43,234,235
Proceso 44,241,244
Proceso 45,249,250
Proceso 46,251,255
Proceso 47,259,261
Proceso 48,269,270
Proceso 49,273,274
Proceso 50,280,282
Proceso 51,288,292
Proceso 52,289,293
Proceso 53,292,296
Proceso 54,298,302
Proceso 55,306,307
Proceso 56,310,315
Proceso 57,313,317
Proceso 58,322,324
Proceso 59,326,328
Proceso 61,336,337
Proceso 60,334,338
Proceso 62,339,344
Proceso 63,348,352
Proceso 64,354,355
Proceso 65,364,365
Proceso 66,369,372
Proceso 67,376,381
Proceso 68,386,390
Proceso 69,390,391
Proceso 70,400,403
Proceso 71,401,404
Proceso 72,402,405
Proceso 74,409,410
Proceso 73,408,413
Proceso 75,415,417
Proceso 76,419,421
Proceso 77,429,434
Proceso 78,434,435
Proceso 79,443,446
Proceso 80,447,448
Proceso 81,454,457
Proceso 82,457,460
Proceso 83,464,465
Proceso 84,472,474
Proceso 85,478,479
Proceso 86,481,482
Proceso 87,484,485
Proceso 88,485,489
Proceso 89,495,496
Proceso 90,499,501
Proceso 91,508,511
Proceso 92,516,518
Proceso 93,521,523
Proceso 94,529,530
Proceso 95,533,536
Proceso 96,535,538
Proceso 97,542,546
Proceso 98,548,554
Proceso 99,554,556
Proceso 100,564,565
Proceso 101,572,576
Proceso 102,582,585
Proceso 103,586,587
Proceso 104,593,594
Proceso 105,597,602
Proceso 106,604,606
Proceso 108,610,612
Proceso 107,609,613
Proceso 109,612,618
Proceso 110,619,622
Proceso 111,622,624
Proceso 112,627,628
Proceso 113,635,636
Proceso 114,637,638
Proceso 115,647,648
Proceso 116,652,654
Proceso 117,653,654
Proceso 118,656,659
Proceso 119,659,660
Proceso 120,665,666
Proceso 121,672,673
Proceso 122,678,683
Proceso 123,684,690
Proceso 124,690,691
Proceso 125,700,701
Proceso 126,705,706
Proceso 127,715,716
Proceso 128,716,721
Proceso 129,721,722
Proceso 130,726,730
Proceso 131,730,732
Proceso 132,735,738
Proceso 133,743,747
Proceso 134,747,750
Proceso 135,756,757
Proceso 136,763,767
Proceso 137,771,773
Proceso 138,780,782
Proceso 139,786,788
Proceso 141,797,798
Proceso 140,796,800
Proceso 142,800,806
Proceso 143,807,811
Proceso 144,815,821
Proceso 145,818,823
Proceso 146,825,828
Proceso 147,834,837
Proceso 149,837,839
Proceso 148,836,840
Proceso 150,843,844
Proceso 151,848,851
Proceso 152,854,856
Proceso 153,857,861
Proceso 154,865,868
Proceso 155,874,877
Proceso 156,882,886
Proceso 157,886,887
Proceso 158,887,888
Proceso 159,894,897
Proceso 160,898,900
Proceso 161,899,901
Proceso 162,900,904
Proceso 163,904,905
Proceso 164,912,915
Proceso 165,916,920
Proceso 166,921,925
Proceso 167,927,928
Proceso 168,928,929
Proceso 169,936,939
Proceso 170,944,946
Proceso 171,952,955
Proceso 172,959,962
Proceso 173,969,970
Proceso 174,976,979
Proceso 175,980,983
Proceso 176,983,987
Proceso 177,986,990
Proceso 178,994,996
Proceso 179,1004,1005
Proceso 180,1011,1013
Proceso 181,1021,1026
Proceso 182,1028,1031
Proceso 183,1038,1044
Proceso 184,1042,1045
Proceso 185,1045,1048
Proceso 186,1048,1049
Proceso 187,1051,1052
Proceso 188,1054,1058
Proceso 189,1058,1059
Proceso 190,1065,1069
Proceso 192,1073,1074
Proceso 191,1071,1075
Proceso 193,1083,1086
Proceso 194,1087,1090
Proceso 195,1089,1090
Proceso 196,1092,1095
Proceso 197,1093,1097
Proceso 198,1103,1105
Proceso 199,1105,1106
