Proceso,Tiempo de Inicio,Tiempo de Finalización
Proceso 1,1,3
Proceso 0,0,4
Proceso 6,6,11
Proceso 2,2,17
Proceso 5,5,19
Proceso 3,3,25
Proceso 4,4,29
Proceso 8,8,31
Proceso 20,20,39
Proceso 10,10,40
Proceso 12,12,46
Proceso 24,24,47
Proceso 29,29,56
Proceso 33,33,67
Proceso 34,34,69
Proceso 9,9,70
Proceso 40,40,81
Proceso 21,21,83
Proceso 43,43,86
Proceso 11,11,87
Proceso 44,44,88
Proceso 23,23,89
Proceso 48,48,95
Proceso 13,13,96
Proceso 7,7,101
Proceso 14,14,103
Proceso 28,28,104
Proceso 15,15,108
Proceso 30,30,109
Proceso 31,31,110
Proceso 32,32,111
Proceso 16,16,112
Proceso 54,54,115
Proceso 35,35,116
Proceso 18,18,117
Proceso 37,37,119
Proceso 19,19,120
Proceso 41,41,126
Proceso 22,22,128
Proceso 58,58,129
Proceso 59,59,130
Proceso 60,60,131
Proceso 45,45,132
Proceso 63,63,139
Proceso 49,49,140
Proceso 26,26,141
Proceso 50,50,142
Proceso 64,64,144
Proceso 65,65,145
Proceso 66,66,146
Proceso 51,51,147
Proceso 67,67,149
Proceso 69,69,152
Proceso 70,70,153
Proceso 17,17,155
Proceso 36,36,160
Proceso 38,38,163
Proceso 39,39,164
Proceso 76,76,172
Proceso 77,77,173
Proceso 47,47,179
Proceso 25,25,180
Proceso 62,62,182
Proceso 82,82,186
Proceso 27,27,193
Proceso 90,90,198
Proceso 52,52,199
Proceso 53,53,204
Proceso 71,71,205
Proceso 73,73,208
Proceso 95,95,212
Proceso 75,75,214
Proceso 97,97,217
Proceso 55,55,218
Proceso 56,56,219
Proceso 57,57,220
Proceso 42,42,221
Proceso 78,78,224
Proceso 46,46,227
Proceso 81,81,230
Proceso 84,84,232
Proceso 86,86,234
Proceso 87,87,235
Proceso 88,88,236
Proceso 91,91,240
Proceso 92,92,241
Proceso 72,72,242
Proceso 94,94,244
Proceso 74,74,245
Proceso 99,99,248
Proceso 79,79,249
Proceso 61,61,250
Proceso 80,80,251
Proceso 83,83,252
Proceso 85,85,253
Proceso 89,89,254
Proceso 68,68,255
Proceso 96,96,257
Proceso 98,98,258
Proceso 93,93,259
