Proceso,Tiempo de Inicio,Tiempo de Finalización
Proceso 0,0,4
Proceso 1,10,13
Proceso 2,19,20
Proceso 3,29,32
Proceso 4,31,33
Proceso 5,41,42
Proceso 6,51,54
Proceso 7,54,55
Proceso 8,59,60
Proceso 9,68,69
Proceso 10,73,74
Proceso 11,83,84
Proceso 12,88,90
Proceso 13,94,100
Proceso 14,97,101
Proceso 15,103,106
Proceso 16,113,116
Proceso 17,116,120
Proceso 18,117,122
Proceso 19,122,126
Proceso 20,131,134
Proceso 21,141,142
Proceso 22,146,150
Proceso 23,155,157
Proceso 24,159,161
Proceso 25,163,165
Proceso 26,168,171
Proceso 27,175,177
Proceso 28,178,180
Proceso 29,180,185
Proceso 30,185,187
Proceso 31,193,194
Proceso 32,196,198
Proceso 33,203,205
Proceso 34,211,215
Proceso 35,219,220
Proceso 36,220,221
Proceso 37,222,223
Proceso 38,227,230
Proceso 39,236,239
Proceso 40,241,244
Proceso 41,251,255
Proceso 42,256,257
Proceso 43,266,269
Proceso 44,272,276
Proceso 45,279,280
Proceso 46,281,285
Proceso 47,290,291
Proceso 48,299,300
Proceso 49,303,308
Proceso 50,310,317
Proceso 51,314,318
Proceso 52,319,325
Proceso 53,322,326
Proceso 54,324,329
Proceso 55,330,335
Proceso 56,340,344
Proceso 57,344,345
Proceso 58,354,355
Proceso 59,358,361
Proceso 60,363,364
Proceso 61,369,371
Proceso 62,372,374
Proceso 64,383,385
Proceso 63,381,386
Proceso 65,388,389
Proceso 67,398,400
Proceso 66,395,401
Proceso 68,407,413
Proceso 69,417,421
Proceso 70,425,428
Proceso 71,433,436
Proceso 72,441,442
Proceso 73,444,446
Proceso 74,451,454
Proceso 76,458,461
Proceso 75,456,463
Proceso 78,460,464
Proceso 77,459,465
Proceso 79,465,470
Proceso 80,473,475
Proceso 81,476,477
Proceso 82,484,486
Proceso 83,487,490
Proceso 84,490,493
Proceso 85,499,500
Proceso 87,501,504
Proceso 86,500,505
Proceso 88,506,508
Proceso 89,509,510
Proceso 90,512,513
Proceso 91,520,523
Proceso 92,528,530
Proceso 93,529,532
Proceso 94,539,540
Proceso 95,542,545
Proceso 96,546,550
Proceso 97,553,555
Proceso 98,558,562
Proceso 99,564,565
