Proceso,Tiempo de Inicio,Tiempo de Finalización
Proceso 0,0,2
Proceso 1,1,3
Proceso 2,2,4
Proceso 4,4,6
Proceso 3,3,7
Proceso 6,6,9
Proceso 7,7,10
Proceso 5,5,11
Proceso 8,8,12
Proceso 9,9,13
Proceso 10,10,14
Proceso 11,11,15
Proceso 12,12,16
Proceso 14,14,19
Proceso 16,16,21
Proceso 13,13,23
Proceso 15,15,27
Proceso 21,21,29
Proceso 17,17,30
Proceso 22,22,31
Proceso 23,23,32
Proceso 24,24,33
Proceso 18,18,34
Proceso 25,25,35
Proceso 19,19,36
Proceso 26,26,37
Proceso 27,27,38
Proceso 20,20,39
Proceso 28,28,40
Proceso 29,29,41
Proceso 30,30,42
Proceso 31,31,43
Proceso 33,33,45
Proceso 35,35,47
Proceso 36,36,48
Proceso 37,37,49
Proceso 38,38,50
Proceso 40,40,53
Proceso 41,41,54
Proceso 42,42,55
Proceso 43,43,56
Proceso 32,32,57
Proceso 44,44,58
Proceso 45,45,59
Proceso 34,34,60
Proceso 48,48,64
Proceso 49,49,65
Proceso 51,51,67
Proceso 39,39,68
Proceso 53,53,70
Proceso 54,54,71
Proceso 55,55,72
Proceso 56,56,73
Proceso 57,57,74
Proceso 61,61,79
Proceso 46,46,80
Proceso 62,62,81
Proceso 47,47,82
Proceso 63,63,83
Proceso 65,65,85
Proceso 50,50,86
Proceso 66,66,87
Proceso 68,68,90
Proceso 52,52,91
Proceso 69,69,92
Proceso 70,70,93
Proceso 71,71,94
Proceso 73,73,96
Proceso 74,74,97
Proceso 75,75,98
Proceso 58,58,99
Proceso 59,59,101
Proceso 77,77,102
Proceso 60,60,103
Proceso 78,78,104
Proceso 80,80,106
Proceso 81,81,107
Proceso 82,82,108
Proceso 83,83,109
Proceso 64,64,110
Proceso 86,86,114
Proceso 87,87,115
Proceso 67,67,117
Proceso 89,89,118
Proceso 90,90,119
Proceso 91,91,120
Proceso 92,92,121
Proceso 93,93,122
Proceso 72,72,124
Proceso 97,97,127
Proceso 99,99,130
Proceso 76,76,131
Proceso 79,79,132
Proceso 84,84,133
Proceso 85,85,134
Proceso 88,88,135
Proceso 94,94,136
Proceso 95,95,137
Proceso 96,96,138
Proceso 98,98,139
