Proceso,Tiempo de Inicio,Tiempo de Finalización
Proceso 0,0,1
Proceso 1,8,12
Proceso 2,11,18
Proceso 3,12,19
Proceso 5,16,20
Proceso 4,14,23
Proceso 6,26,27
Proceso 7,32,33
Proceso 8,37,38
Proceso 9,43,47
Proceso 10,53,54
Proceso 11,58,61
Proceso 12,62,67
Proceso 13,66,69
Proceso 14,70,72
Proceso 15,78,81
Proceso 16,86,90
Proceso 17,96,98
Proceso 18,101,105
Proceso 19,108,113
Proceso 20,113,114
Proceso 21,120,121
Proceso 22,121,124
Proceso 23,129,132
Proceso 24,135,138
Proceso 26,142,144
Proceso 25,141,147
Proceso 27,146,149
Proceso 28,153,154
Proceso 29,158,160
Proceso 30,168,170
Proceso 31,170,171
Proceso 33,177,181
Proceso 32,175,182
Proceso 35,183,185
Proceso 34,182,189
Proceso 36,186,191
Proceso 37,192,193
Proceso 38,200,201
Proceso 39,207,209
Proceso 40,216,219
Proceso 41,222,223
Proceso 42,232,234
Proceso 43,234,237
Proceso 44,244,247
Proceso 45,251,256
Proceso 46,259,261
Proceso 47,265,266
Proceso 48,271,272
Proceso 49,273,277
Proceso 50,282,284
Proceso 52,291,293
Proceso 51,290,295
Proceso 53,297,300
Proceso 55,302,305
Proceso 54,301,306
Proceso 56,305,311
Proceso 57,306,314
Proceso 58,311,318
Proceso 59,318,322
Proceso 60,326,329
Proceso 61,333,336
Proceso 62,341,343
Proceso 63,346,350
Proceso 64,353,354
Proceso 65,354,356
Proceso 66,356,357
Proceso 67,364,369
Proceso 68,366,372
Proceso 69,376,379
Proceso 70,384,386
Proceso 71,388,389
Proceso 72,398,401
Proceso 73,405,408
Proceso 74,409,413
Proceso 75,414,415
Proceso 76,417,419
Proceso 77,424,427
Proceso 78,434,437
Proceso 80,438,442
Proceso 79,437,444
Proceso 81,445,448
Proceso 82,448,451
Proceso 83,451,452
Proceso 84,453,454
Proceso 85,462,468
Proceso 86,464,471
Proceso 87,468,472
Proceso 88,472,474
Proceso 89,473,478
Proceso 90,478,483
Proceso 91,483,485
Proceso 92,485,488
Proceso 93,495,498
Proceso 94,498,500
Proceso 95,503,506
Proceso 96,505,507
Proceso 97,511,514
Proceso 98,517,522
Proceso 99,527,528
Proceso 100,530,531
Proceso 101,537,539
Proceso 102,545,547
Proceso 103,553,555
Proceso 104,560,561
Proceso 105,569,570
Proceso 106,578,582
Proceso 107,584,585
Proceso 108,594,598
Proceso 109,600,601
Proceso 110,609,614
Proceso 111,618,620
Proceso 112,620,624
Proceso 113,625,626
Proceso 114,626,628
Proceso 115,632,634
Proceso 116,638,640
Proceso 117,648,651
Proceso 118,655,657
Proceso 119,664,669
Proceso 120,669,672
Proceso 121,672,674
Proceso 123,682,684
Proceso 122,680,685
Proceso 124,691,695
Proceso 125,700,704
Proceso 126,706,709
Proceso 127,709,712
Proceso 128,718,720
Proceso 129,721,725
Proceso 130,727,734
Proceso 131,730,737
Proceso 132,740,745
Proceso 134,743,748
Proceso 133,741,749
Proceso 135,749,750
Proceso 136,753,756
Proceso 137,760,763
Proceso 138,762,767
Proceso 139,772,773
Proceso 140,774,775
Proceso 141,780,786
Proceso 142,786,790
Proceso 143,794,795
Proceso 144,800,803
Proceso 145,802,808
Proceso 146,807,811
Proceso 147,813,816
Proceso 148,817,822
Proceso 149,827,831
