Proceso,Tiempo de Inicio,Tiempo de Finalización
Proceso 0,0,2
Proceso 2,2,4
Proceso 1,1,5
Proceso 4,4,8
Proceso 5,5,9
Proceso 3,3,11
Proceso 7,7,12
Proceso 8,8,13
Proceso 6,6,15
Proceso 11,11,17
Proceso 13,13,19
Proceso 9,9,20
Proceso 14,14,21
Proceso 10,10,24
Proceso 16,16,25
Proceso 17,17,26
Proceso 12,12,27
Proceso 18,18,28
Proceso 19,19,29
Proceso 20,20,30
Proceso 21,21,31
Proceso 15,15,34
Proceso 25,25,37
Proceso 31,31,45
Proceso 32,32,46
Proceso 22,22,47
Proceso 34,34,50
Proceso 23,23,51
Proceso 35,35,52
Proceso 24,24,53
Proceso 36,36,54
Proceso 38,38,56
Proceso 26,26,57
Proceso 27,27,60
Proceso 28,28,62
Proceso 29,29,65
Proceso 43,43,68
Proceso 30,30,69
Proceso 44,44,70
Proceso 46,46,72
Proceso 33,33,75
Proceso 37,37,77
Proceso 39,39,78
Proceso 40,40,79
Proceso 41,41,80
Proceso 42,42,81
Proceso 45,45,82
Proceso 47,47,83
Proceso 48,48,84
Proceso 49,49,85
