Proceso,Tiempo de Inicio,Tiempo de Finalización
Proceso 0,0,3
Proceso 2,6,8
Proceso 1,5,9
Proceso 3,8,17
Proceso 4,9,21
Proceso 5,14,26
Proceso 6,15,27
Proceso 7,20,28
Proceso 9,27,34
Proceso 10,32,35
Proceso 8,25,36
Proceso 11,36,37
Proceso 12,39,40
Proceso 13,41,46
Proceso 14,42,48
Proceso 15,44,50
Proceso 16,49,52
Proceso 17,54,56
Proceso 18,58,59
Proceso 19,60,62
Proceso 20,63,65
Proceso 21,67,71
Proceso 22,71,78
Proceso 24,75,79
Proceso 23,74,81
Proceso 25,80,86
Proceso 26,85,89
Proceso 27,90,94
Proceso 28,95,101
Proceso 30,99,102
Proceso 29,97,108
Proceso 32,101,113
Proceso 31,100,118
Proceso 34,106,119
Proceso 37,114,127
Proceso 35,108,128
Proceso 33,103,131
Proceso 36,109,132
Proceso 39,122,136
Proceso 41,130,137
Proceso 40,125,138
Proceso 38,119,140
Proceso 44,137,142
Proceso 43,135,145
Proceso 42,134,149
Proceso 46,141,158
Proceso 45,138,161
Proceso 49,149,162
Proceso 47,144,163
Proceso 48,146,164
Proceso 52,159,166
Proceso 50,153,170
Proceso 53,164,171
Proceso 51,158,172
Proceso 54,169,174
Proceso 55,174,176
Proceso 56,176,180
Proceso 57,180,182
Proceso 59,184,189
Proceso 60,189,191
Proceso 58,183,192
Proceso 61,192,197
Proceso 62,197,198
Proceso 63,202,205
Proceso 64,207,215
Proceso 66,213,216
Proceso 67,214,219
Proceso 65,208,220
Proceso 68,219,221
Proceso 69,224,227
Proceso 70,229,232
Proceso 71,234,236
Proceso 72,239,244
Proceso 73,240,245
Proceso 74,244,246
Proceso 75,248,252
Proceso 76,253,254
Proceso 77,255,258
Proceso 78,259,263
Proceso 79,264,265
Proceso 80,269,273
Proceso 81,270,274
Proceso 82,275,277
Proceso 83,277,278
Proceso 84,280,281
Proceso 85,282,283
Proceso 86,286,287
Proceso 87,289,290
Proceso 88,291,292
Proceso 89,294,295
Proceso 90,298,299
Proceso 91,302,303
Proceso 92,305,311
Proceso 93,306,312
Proceso 94,311,315
Proceso 95,312,316
Proceso 96,316,318
Proceso 97,317,319
Proceso 99,320,323
Proceso 98,319,324
Proceso 100,322,327
Proceso 101,323,329
Proceso 102,328,331
Proceso 104,332,336
Proceso 103,330,338
Proceso 106,336,342
Proceso 105,334,343
Proceso 107,341,344
Proceso 109,347,349
Proceso 108,344,350
Proceso 110,348,351
Proceso 111,351,355
Proceso 112,355,358
Proceso 114,361,364
Proceso 113,360,365
Proceso 115,365,368
Proceso 116,369,372
Proceso 117,371,374
Proceso 119,377,382
Proceso 120,380,383
Proceso 118,376,384
Proceso 121,381,386
Proceso 122,386,387
Proceso 123,388,389
Proceso 124,392,393
Proceso 125,394,395
Proceso 126,397,399
Proceso 127,399,400
Proceso 129,402,404
Proceso 128,401,406
Proceso 130,405,407
Proceso 131,406,409
Proceso 132,411,413
Proceso 133,414,415
Proceso 134,416,420
Proceso 136,421,427
Proceso 137,425,428
Proceso 135,419,429
Proceso 138,426,430
Proceso 139,429,432
Proceso 140,432,434
Proceso 141,436,438
Proceso 142,441,442
Proceso 143,446,448
Proceso 144,449,450
Proceso 145,452,455
Proceso 146,457,459
Proceso 147,458,462
Proceso 148,462,463
Proceso 149,463,465
Proceso 150,464,468
Proceso 151,468,470
Proceso 152,471,475
Proceso 153,475,476
Proceso 154,480,483
Proceso 155,482,484
Proceso 156,483,491
Proceso 157,486,494
Proceso 159,492,495
Proceso 158,488,496
Proceso 160,493,499
Proceso 161,498,506
Proceso 162,501,518
Proceso 165,509,519
Proceso 163,502,520
Proceso 164,505,522
Proceso 168,519,531
Proceso 169,520,532
Proceso 167,515,533
Proceso 166,511,536
Proceso 172,529,537
Proceso 170,523,538
Proceso 171,526,546
Proceso 174,535,547
Proceso 176,542,548
Proceso 175,538,549
Proceso 173,534,550
Proceso 177,545,551
Proceso 178,547,552
Proceso 179,551,555
Proceso 180,554,563
Proceso 183,559,564
Proceso 181,555,567
Proceso 186,567,571
Proceso 182,556,573
Proceso 187,569,581
Proceso 184,560,582
Proceso 185,562,587
Proceso 188,571,594
Proceso 194,586,595
Proceso 189,572,596
Proceso 196,590,600
Proceso 190,576,601
Proceso 193,583,602
Proceso 191,577,604
Proceso 192,580,607
Proceso 199,601,608
Proceso 195,589,611
Proceso 197,592,612
Proceso 198,596,613
