Proceso,Tiempo de Inicio,Tiempo de Finalización
Proceso 0,0,2
Proceso 2,2,5
Proceso 3,3,6
Proceso 1,1,12
Proceso 5,5,20
Proceso 7,7,26
Proceso 4,4,32
Proceso 19,19,38
Proceso 20,20,39
Proceso 21,21,41
Proceso 6,6,42
Proceso 12,12,45
Proceso 22,22,46
Proceso 13,13,47
Proceso 8,8,49
Proceso 15,15,50
Proceso 9,9,58
Proceso 24,24,59
Proceso 10,10,63
Proceso 29,29,65
Proceso 31,31,67
Proceso 11,11,68
Proceso 33,33,70
Proceso 14,14,71
Proceso 16,16,72
Proceso 17,17,75
Proceso 18,18,76
Proceso 35,35,79
Proceso 36,36,80
Proceso 25,25,81
Proceso 26,26,82
Proceso 37,37,84
Proceso 23,23,93
Proceso 34,34,96
Proceso 27,27,100
Proceso 47,47,103
Proceso 28,28,104
Proceso 30,30,105
Proceso 38,38,106
Proceso 32,32,107
Proceso 40,40,109
Proceso 44,44,115
Proceso 45,45,116
Proceso 51,51,119
Proceso 46,46,120
Proceso 52,52,121
Proceso 53,53,122
Proceso 55,55,124
Proceso 39,39,125
Proceso 42,42,128
Proceso 43,43,129
Proceso 58,58,134
Proceso 54,54,140
Proceso 64,64,142
Proceso 41,41,143
Proceso 48,48,144
Proceso 66,66,147
Proceso 57,57,152
Proceso 60,60,157
Proceso 61,61,158
Proceso 62,62,159
Proceso 49,49,173
Proceso 56,56,174
Proceso 76,76,175
Proceso 50,50,178
Proceso 77,77,180
Proceso 69,69,185
Proceso 63,63,186
Proceso 72,72,189
Proceso 74,74,191
Proceso 65,65,192
Proceso 67,67,194
Proceso 68,68,200
Proceso 59,59,201
Proceso 78,78,203
Proceso 87,87,211
Proceso 70,70,212
Proceso 71,71,213
Proceso 88,88,215
Proceso 75,75,216
Proceso 81,81,219
Proceso 90,90,221
Proceso 83,83,222
Proceso 79,79,223
Proceso 85,85,226
Proceso 91,91,229
Proceso 73,73,231
Proceso 95,95,234
Proceso 80,80,236
Proceso 96,96,237
Proceso 86,86,244
Proceso 94,94,249
Proceso 89,89,250
Proceso 82,82,251
Proceso 99,99,254
Proceso 84,84,255
Proceso 92,92,256
Proceso 97,97,258
Proceso 98,98,259
Proceso 93,93,260
