Proceso,Tiempo de Inicio,Tiempo de Finalización
Proceso 0,0,2
Proceso 1,2,6
Proceso 2,10,13
Proceso 3,12,17
Proceso 4,16,19
Proceso 5,25,27
Proceso 6,28,32
Proceso 7,37,40
Proceso 8,47,48
Proceso 9,57,60
Proceso 10,65,66
Proceso 11,75,76
Proceso 12,77,81
Proceso 13,78,84
Proceso 14,88,92
Proceso 16,91,95
Proceso 15,89,97
Proceso 17,92,98
Proceso 18,98,99
Proceso 19,103,106
Proceso 20,105,111
Proceso 21,112,113
Proceso 22,119,124
Proceso 23,124,125
Proceso 24,126,131
Proceso 25,132,137
Proceso 26,140,141
Proceso 27,148,153
Proceso 28,156,161
Proceso 29,161,163
Proceso 30,169,170
Proceso 31,176,179
Proceso 32,182,185
Proceso 33,189,190
Proceso 34,194,199
Proceso 35,201,202
Proceso 36,208,213
Proceso 37,213,216
Proceso 38,221,222
Proceso 39,227,233
Proceso 40,232,234
Proceso 41,240,245
Proceso 42,245,247
Proceso 43,251,255
Proceso 44,258,261
Proceso 45,268,271
Proceso 46,270,273
Proceso 47,273,276
Proceso 48,276,279
Proceso 49,284,289
Proceso 50,293,294
Proceso 51,302,303
Proceso 53,311,313
Proceso 52,308,314
Proceso 54,316,317
Proceso 55,317,318
Proceso 56,324,327
Proceso 58,327,333
Proceso 57,326,334
Proceso 59,332,338
Proceso 60,334,342
Proceso 61,344,347
Proceso 62,348,354
Proceso 63,357,361
Proceso 64,362,365
Proceso 65,366,369
Proceso 66,375,377
Proceso 67,384,386
Proceso 68,392,396
Proceso 69,402,405
Proceso 70,407,411
Proceso 71,416,417
Proceso 72,420,422
Proceso 73,430,431
Proceso 74,434,435
Proceso 75,442,443
Proceso 76,450,453
Proceso 77,459,460
Proceso 78,465,467
Proceso 79,474,479
Proceso 80,479,482
Proceso 81,484,488
Proceso 82,491,493
Proceso 83,501,504
Proceso 84,505,509
Proceso 85,515,520
Proceso 86,525,526
Proceso 87,529,531
Proceso 88,531,537
Proceso 90,536,539
Proceso 89,533,540
Proceso 91,544,547
Proceso 92,549,552
Proceso 93,559,561
Proceso 94,567,568
Proceso 95,574,577
Proceso 96,582,583
Proceso 97,589,591
Proceso 98,597,598
Proceso 99,602,603
Proceso 100,609,611
Proceso 101,617,619
Proceso 102,623,626
Proceso 103,631,632
Proceso 104,640,642
Proceso 105,648,656
Proceso 108,654,658
Proceso 106,649,661
Proceso 107,652,662
Proceso 109,662,666
Proceso 111,667,671
Proceso 110,666,672
Proceso 112,675,676
Proceso 113,676,681
Proceso 114,682,683
Proceso 115,684,688
Proceso 116,688,693
Proceso 117,697,699
Proceso 118,701,705
Proceso 119,711,712
Proceso 120,721,723
Proceso 122,731,736
Proceso 123,734,737
Proceso 121,729,738
Proceso 124,741,743
Proceso 125,745,746
Proceso 126,750,753
Proceso 127,753,757
Proceso 128,757,758
Proceso 129,762,764
Proceso 130,766,768
Proceso 131,776,777
Proceso 132,782,786
Proceso 133,789,790
Proceso 135,794,796
Proceso 134,792,797
Proceso 136,796,798
Proceso 137,798,801
Proceso 138,801,805
Proceso 139,807,808
Proceso 140,813,816
Proceso 141,816,817
Proceso 142,821,823
Proceso 143,829,832
Proceso 144,834,837
Proceso 145,839,844
Proceso 146,849,850
Proceso 147,856,857
Proceso 148,859,864
Proceso 149,867,871
Proceso 150,874,875
Proceso 151,876,877
Proceso 152,884,887
Proceso 153,886,889
Proceso 154,895,896
Proceso 155,897,901
Proceso 156,901,905
Proceso 157,908,912
Proceso 158,916,920
Proceso 159,926,931
Proceso 160,931,933
Proceso 161,932,935
Proceso 162,937,941
Proceso 163,946,948
Proceso 164,954,955
Proceso 165,957,959
Proceso 166,966,967
Proceso 167,976,977
Proceso 168,982,983
Proceso 169,985,988
Proceso 170,988,989
Proceso 171,994,998
Proceso 172,995,1000
Proceso 174,1004,1007
Proceso 173,1003,1008
Proceso 175,1010,1016
Proceso 176,1019,1021
Proceso 177,1029,1031
Proceso 178,1035,1036
Proceso 179,1038,1039
Proceso 180,1048,1049
Proceso 181,1052,1060
Proceso 182,1053,1062
Proceso 183,1058,1064
Proceso 184,1068,1073
Proceso 185,1078,1079
Proceso 187,1087,1089
Proceso 186,1086,1091
Proceso 188,1097,1098
Proceso 190,1103,1105
Proceso 189,1101,1107
Proceso 191,1107,1108
Proceso 192,1116,1118
Proceso 193,1125,1128
Proceso 194,1129,1130
Proceso 195,1138,1140
Proceso 196,1148,1149
Proceso 197,1156,1158
Proceso 198,1162,1169
Proceso 199,1163,1170
