Proceso,Tiempo de Inicio,Tiempo de Finalización
Proceso 0,0,5
Proceso 1,1,7
Proceso 2,6,9
Proceso 3,9,11
Proceso 4,12,13
Proceso 5,13,14
Proceso 6,17,20
Proceso 7,21,23
Proceso 8,22,24
Proceso 9,23,31
Proceso 10,27,37
Proceso 11,29,42
Proceso 12,30,46
Proceso 16,43,49
Proceso 14,36,50
Proceso 17,45,52
Proceso 15,41,53
Proceso 13,34,56
Proceso 18,49,58
Proceso 20,58,60
Proceso 19,53,61
Proceso 21,59,63
Proceso 23,63,68
Proceso 25,65,73
Proceso 26,70,74
Proceso 22,62,75
Proceso 27,73,77
Proceso 24,64,79
Proceso 31,80,85
Proceso 30,77,86
Proceso 28,74,87
Proceso 29,76,88
Proceso 33,87,90
Proceso 32,85,92
Proceso 34,91,93
Proceso 35,96,97
Proceso 36,97,98
Proceso 37,102,107
Proceso 39,105,108
Proceso 38,104,109
Proceso 40,107,110
Proceso 41,109,114
Proceso 42,111,115
Proceso 43,115,116
Proceso 44,120,124
Proceso 46,124,128
Proceso 45,123,129
Proceso 47,127,130
Proceso 48,131,133
Proceso 49,133,136
