Proceso,Tiempo de Inicio,Tiempo de Finalización
Proceso 0,0,2
Proceso 1,3,8
Proceso 2,13,14
Proceso 3,14,15
Proceso 4,15,16
Proceso 5,21,23
Proceso 6,31,33
Proceso 7,35,36
Proceso 8,37,38
Proceso 9,45,47
Proceso 10,54,58
Proceso 11,58,62
Proceso 12,62,63
Proceso 13,68,69
Proceso 14,76,77
Proceso 15,81,86
Proceso 16,86,89
Proceso 17,91,94
Proceso 18,94,96
Proceso 19,101,102
Proceso 20,103,105
Proceso 21,113,116
Proceso 22,120,125
Proceso 23,127,132
Proceso 24,135,137
Proceso 25,144,148
Proceso 26,149,152
Proceso 27,154,156
Proceso 28,159,164
Proceso 30,164,165
Proceso 29,163,167
Proceso 31,168,172
Proceso 32,177,179
Proceso 33,185,187
Proceso 34,193,194
Proceso 35,200,201
Proceso 36,203,206
Proceso 37,213,214
Proceso 38,221,225
Proceso 39,228,231
Proceso 40,234,236
Proceso 41,241,246
Proceso 42,251,252
Proceso 43,256,257
Proceso 44,266,267
Proceso 45,276,279
Proceso 46,284,287
Proceso 47,293,297
Proceso 48,295,299
Proceso 49,297,300
Proceso 50,298,302
Proceso 51,300,305
Proceso 52,309,312
Proceso 53,311,314
Proceso 54,319,324
Proceso 55,325,326
Proceso 56,326,328
Proceso 57,335,339
Proceso 58,339,340
Proceso 59,348,349
Proceso 60,349,351
Proceso 61,358,363
Proceso 62,364,365
Proceso 63,373,374
Proceso 64,376,378
Proceso 65,383,386
Proceso 66,388,389
Proceso 67,396,397
Proceso 68,404,405
Proceso 69,410,414
Proceso 70,411,416
Proceso 71,420,423
Proceso 72,430,433
Proceso 74,439,440
Proceso 73,438,441
Proceso 75,447,452
Proceso 77,451,453
Proceso 76,450,455
Proceso 78,454,455
Proceso 79,460,463
Proceso 80,470,474
Proceso 81,477,479
Proceso 82,481,487
Proceso 83,487,488
Proceso 84,490,491
Proceso 85,492,495
Proceso 86,496,498
Proceso 87,503,506
Proceso 88,509,510
Proceso 89,511,513
Proceso 90,519,523
Proceso 91,529,534
Proceso 92,534,538
Proceso 93,540,545
Proceso 94,545,549
Proceso 95,550,553
Proceso 96,556,557
Proceso 97,558,561
Proceso 98,567,571
Proceso 99,572,573
Proceso 100,573,574
Proceso 101,579,580
Proceso 102,585,587
Proceso 103,592,595
Proceso 104,597,598
Proceso 106,602,604
Proceso 105,601,605
Proceso 107,612,615
Proceso 108,618,619
Proceso 109,626,627
Proceso 110,632,634
Proceso 111,637,639
Proceso 112,639,641
Proceso 113,646,648
Proceso 114,652,654
Proceso 115,659,660
Proceso 116,661,664
Proceso 117,667,669
Proceso 118,671,673
Proceso 119,677,678
Proceso 120,687,689
Proceso 121,694,697
Proceso 122,698,702
Proceso 123,705,706
Proceso 124,710,715
Proceso 125,714,718
Proceso 127,725,726
Proceso 126,722,727
Proceso 128,730,735
Proceso 129,740,741
Proceso 130,742,746
Proceso 131,750,751
Proceso 133,755,756
Proceso 132,753,757
Proceso 134,757,759
Proceso 135,761,765
Proceso 136,771,772
Proceso 137,775,777
Proceso 138,777,778
Proceso 139,779,782
Proceso 140,780,782
Proceso 141,785,788
Proceso 142,786,788
Proceso 143,789,790
Proceso 144,796,799
Proceso 146,808,809
Proceso 145,806,810
Proceso 147,811,813
Proceso 148,815,816
Proceso 149,820,823
