Proceso,Tiempo de Inicio,Tiempo de Finalización
Proceso 0,0,3
Proceso 1,8,14
Proceso 2,16,18
Proceso 3,24,28
Proceso 4,30,32
Proceso 5,33,34
Proceso 6,42,43
Proceso 7,47,48
Proceso 8,52,53
Proceso 9,61,64
Proceso 10,67,69
Proceso 11,68,71
Proceso 12,70,75
Proceso 13,72,78
Proceso 14,82,84
Proceso 15,92,93
Proceso 16,101,105
Proceso 17,105,107
Proceso 18,111,115
Proceso 19,119,123
Proceso 20,128,130
Proceso 21,132,135
Proceso 22,135,136
Proceso 23,136,137
Proceso 24,143,145
Proceso 25,145,149
Proceso 26,155,156
Proceso 27,164,168
Proceso 28,168,170
Proceso 29,178,179
Proceso 30,187,189
Proceso 31,188,190
Proceso 32,195,196
Proceso 33,205,207
Proceso 35,210,214
Proceso 34,208,215
Proceso 36,219,222
Proceso 37,227,230
Proceso 38,234,235
Proceso 39,243,250
Proceso 40,250,254
Proceso 41,258,260
Proceso 42,259,261
Proceso 43,262,263
Proceso 44,270,271
Proceso 45,280,282
Proceso 46,286,287
Proceso 47,290,292
Proceso 48,295,296
Proceso 49,297,300
