Proceso,Tiempo de Inicio,Tiempo de Finalización
Proceso 0,0,1
Proceso 2,2,6
Proceso 4,4,6
Proceso 1,1,7
Proceso 3,3,9
Proceso 8,8,11
Proceso 6,6,11
Proceso 9,9,12
Proceso 5,5,13
Proceso 10,10,14
Proceso 11,11,14
Proceso 13,13,16
Proceso 14,14,16
Proceso 7,7,17
Proceso 15,15,18
Proceso 17,17,19
Proceso 12,12,22
Proceso 20,20,23
Proceso 22,22,26
Proceso 18,18,27
Proceso 16,16,29
Proceso 19,19,30
Proceso 21,21,31
Proceso 23,23,33
Proceso 28,28,34
Proceso 31,31,37
Proceso 27,27,37
Proceso 26,26,38
Proceso 24,24,39
Proceso 29,29,41
Proceso 25,25,43
Proceso 33,33,46
Proceso 30,30,49
Proceso 36,36,50
Proceso 32,32,53
Proceso 45,45,54
Proceso 47,47,56
Proceso 34,34,57
Proceso 41,41,58
Proceso 37,37,64
Proceso 44,44,64
Proceso 38,38,65
Proceso 54,54,66
Proceso 39,39,67
Proceso 40,40,69
Proceso 59,59,72
Proceso 35,35,73
Proceso 61,61,75
Proceso 50,50,76
Proceso 43,43,77
Proceso 63,63,78
Proceso 67,67,82
Proceso 46,46,82
Proceso 56,56,84
Proceso 71,71,87
Proceso 58,58,87
Proceso 72,72,88
Proceso 49,49,88
Proceso 42,42,90
Proceso 52,52,95
Proceso 79,79,95
Proceso 53,53,96
Proceso 80,80,96
Proceso 65,65,97
Proceso 82,82,99
Proceso 68,68,99
Proceso 83,83,100
Proceso 55,55,100
Proceso 84,84,101
Proceso 69,69,101
Proceso 57,57,103
Proceso 48,48,103
Proceso 73,73,105
Proceso 90,90,107
Proceso 62,62,109
Proceso 92,92,110
Proceso 51,51,111
Proceso 93,93,112
Proceso 78,78,113
Proceso 64,64,113
Proceso 96,96,115
Proceso 97,97,115
Proceso 66,66,116
Proceso 98,98,117
Proceso 103,103,121
Proceso 86,86,122
Proceso 104,104,123
Proceso 88,88,124
Proceso 60,60,125
Proceso 106,106,126
Proceso 74,74,128
Proceso 75,75,129
Proceso 109,109,130
Proceso 77,77,134
Proceso 113,113,135
Proceso 94,94,135
Proceso 115,115,137
Proceso 81,81,137
Proceso 116,116,138
Proceso 99,99,139
Proceso 119,119,141
Proceso 70,70,141
Proceso 102,102,143
Proceso 87,87,145
Proceso 124,124,146
Proceso 105,105,147
Proceso 129,129,152
Proceso 130,130,153
Proceso 91,91,154
Proceso 76,76,154
Proceso 111,111,155
Proceso 95,95,158
Proceso 134,134,160
Proceso 135,135,162
Proceso 100,100,164
Proceso 101,101,164
Proceso 85,85,166
Proceso 141,141,169
Proceso 146,146,173
Proceso 125,125,173
Proceso 126,126,174
Proceso 89,89,174
Proceso 107,107,175
Proceso 127,127,175
Proceso 149,149,178
Proceso 110,110,178
Proceso 112,112,179
Proceso 131,131,179
Proceso 114,114,180
Proceso 118,118,181
Proceso 117,117,182
Proceso 120,120,184
Proceso 122,122,186
Proceso 142,142,187
Proceso 143,143,187
Proceso 145,145,188
Proceso 123,123,189
Proceso 128,128,190
Proceso 147,147,190
Proceso 108,108,191
Proceso 148,148,191
Proceso 132,132,192
Proceso 133,133,192
Proceso 136,136,193
Proceso 137,137,193
Proceso 138,138,194
Proceso 121,121,195
Proceso 140,140,195
Proceso 144,144,196
Proceso 139,139,196
