Proceso,Tiempo de Inicio,Tiempo de Finalización
Proceso 1,1,2
Proceso 0,0,4
Proceso 2,6,10
Proceso 3,12,15
Proceso 4,20,24
Proceso 5,25,27
Proceso 6,32,33
Proceso 7,36,40
Proceso 8,45,47
Proceso 9,48,52
Proceso 10,50,52
Proceso 11,56,59
Proceso 12,58,60
Proceso 13,62,63
Proceso 14,72,75
Proceso 15,75,79
Proceso 16,83,85
Proceso 17,91,92
Proceso 18,101,102
Proceso 19,109,114
Proceso 20,111,115
Proceso 21,118,123
Proceso 22,124,128
Proceso 23,133,135
Proceso 24,137,140
Proceso 25,138,141
Proceso 26,139,142
Proceso 27,141,145
Proceso 28,143,145
Proceso 29,147,148
Proceso 30,149,155
Proceso 31,155,156
Proceso 32,164,167
Proceso 33,166,169
Proceso 34,176,177
Proceso 35,177,181
Proceso 36,182,183
Proceso 37,184,187
Proceso 38,192,195
Proceso 40,195,196
Proceso 41,196,198
Proceso 39,194,199
Proceso 42,202,205
Proceso 43,203,207
Proceso 44,207,211
Proceso 45,210,212
Proceso 46,219,221
Proceso 47,224,225
Proceso 48,230,232
Proceso 49,238,239
