Proceso,Tiempo de Inicio,Tiempo de Finalización
Proceso 0,0,1
Proceso 1,1,3
Proceso 2,2,4
Proceso 4,4,6
Proceso 7,7,11
Proceso 3,3,12
Proceso 5,5,15
Proceso 11,11,21
Proceso 12,12,22
Proceso 13,13,23
Proceso 8,8,24
Proceso 6,6,31
Proceso 20,20,35
Proceso 23,23,38
Proceso 24,24,39
Proceso 14,14,40
Proceso 25,25,41
Proceso 15,15,42
Proceso 16,16,44
Proceso 9,9,46
Proceso 30,30,52
Proceso 31,31,53
Proceso 39,39,68
Proceso 41,41,70
Proceso 26,26,72
Proceso 43,43,73
Proceso 44,44,74
Proceso 46,46,77
Proceso 48,48,81
Proceso 49,49,82
Proceso 17,17,85
Proceso 52,52,88
Proceso 53,53,89
Proceso 18,18,90
Proceso 19,19,97
Proceso 10,10,102
Proceso 34,34,104
Proceso 21,21,107
Proceso 36,36,108
Proceso 22,22,109
Proceso 60,60,113
Proceso 40,40,114
Proceso 61,61,115
Proceso 62,62,116
Proceso 65,65,120
Proceso 27,27,121
Proceso 28,28,128
Proceso 29,29,132
Proceso 54,54,140
Proceso 32,32,141
Proceso 55,55,142
Proceso 56,56,143
Proceso 33,33,148
Proceso 59,59,150
Proceso 35,35,152
Proceso 74,74,153
Proceso 37,37,155
Proceso 38,38,156
Proceso 42,42,163
Proceso 63,63,164
Proceso 45,45,168
Proceso 66,66,169
Proceso 47,47,170
Proceso 67,67,171
Proceso 50,50,175
Proceso 70,70,178
Proceso 71,71,179
Proceso 83,83,182
Proceso 57,57,187
Proceso 85,85,188
Proceso 75,75,193
Proceso 87,87,194
Proceso 89,89,197
Proceso 77,77,200
Proceso 78,78,201
Proceso 79,79,202
Proceso 64,64,204
Proceso 80,80,205
Proceso 92,92,206
Proceso 95,95,210
Proceso 81,81,213
Proceso 97,97,214
Proceso 69,69,216
Proceso 51,51,217
Proceso 99,99,218
Proceso 100,100,219
Proceso 101,101,221
Proceso 72,72,224
Proceso 102,102,225
Proceso 58,58,227
Proceso 104,104,231
Proceso 105,105,232
Proceso 76,76,235
Proceso 110,110,241
Proceso 93,93,245
Proceso 94,94,246
Proceso 96,96,247
Proceso 68,68,248
Proceso 84,84,260
Proceso 122,122,265
Proceso 73,73,269
Proceso 86,86,270
Proceso 124,124,271
Proceso 88,88,273
Proceso 90,90,274
Proceso 126,126,275
Proceso 91,91,280
Proceso 109,109,282
Proceso 112,112,284
Proceso 127,127,285
Proceso 128,128,286
Proceso 117,117,295
Proceso 82,82,296
Proceso 118,118,297
Proceso 119,119,299
Proceso 121,121,301
Proceso 103,103,302
Proceso 123,123,303
Proceso 132,132,305
Proceso 136,136,309
Proceso 140,140,315
Proceso 107,107,318
Proceso 111,111,322
Proceso 142,142,323
Proceso 129,129,327
Proceso 113,113,328
Proceso 114,114,329
Proceso 98,98,330
Proceso 115,115,331
Proceso 146,146,334
Proceso 149,149,338
Proceso 130,130,339
Proceso 120,120,343
Proceso 153,153,345
Proceso 154,154,347
Proceso 134,134,350
Proceso 135,135,351
Proceso 138,138,355
Proceso 106,106,360
Proceso 108,108,364
Proceso 143,143,367
Proceso 159,159,370
Proceso 160,160,371
Proceso 163,163,375
Proceso 116,116,379
Proceso 145,145,380
Proceso 169,169,384
Proceso 147,147,385
Proceso 151,151,391
Proceso 172,172,394
Proceso 133,133,395
Proceso 174,174,398
Proceso 125,125,400
Proceso 155,155,403
Proceso 156,156,406
Proceso 141,141,407
Proceso 157,157,411
Proceso 158,158,412
Proceso 144,144,414
Proceso 162,162,416
Proceso 164,164,417
Proceso 183,183,423
Proceso 148,148,429
Proceso 131,131,435
Proceso 137,137,439
Proceso 139,139,443
Proceso 176,176,445
Proceso 189,189,446
Proceso 177,177,449
Proceso 191,191,451
Proceso 193,193,454
Proceso 179,179,457
Proceso 161,161,458
Proceso 197,197,462
Proceso 165,165,463
Proceso 166,166,464
Proceso 182,182,468
Proceso 170,170,479
Proceso 171,171,480
Proceso 150,150,481
Proceso 152,152,482
Proceso 185,185,483
Proceso 173,173,484
Proceso 175,175,488
Proceso 190,190,491
Proceso 178,178,492
Proceso 196,196,497
Proceso 180,180,498
Proceso 181,181,499
Proceso 198,198,500
Proceso 199,199,501
Proceso 167,167,502
Proceso 168,168,503
Proceso 184,184,504
Proceso 186,186,505
Proceso 187,187,506
Proceso 188,188,507
Proceso 192,192,508
Proceso 195,195,510
Proceso 194,194,511
