Proceso,Tiempo de Inicio,Tiempo de Finalización
Proceso 0,0,3
Proceso 2,2,4
Proceso 3,3,5
Proceso 4,4,6
Proceso 1,1,6
Proceso 5,5,8
Proceso 6,6,11
Proceso 7,7,12
Proceso 13,13,17
Proceso 8,8,19
Proceso 12,12,23
Proceso 17,17,23
Proceso 14,14,24
Proceso 10,10,25
Proceso 11,11,26
Proceso 9,9,28
Proceso 16,16,29
Proceso 25,25,32
Proceso 26,26,33
Proceso 15,15,34
Proceso 22,22,37
Proceso 29,29,38
Proceso 18,18,38
Proceso 23,23,39
Proceso 19,19,41
Proceso 33,33,42
Proceso 20,20,42
Proceso 34,34,43
Proceso 21,21,43
Proceso 27,27,44
Proceso 28,28,45
Proceso 37,37,46
Proceso 38,38,46
Proceso 39,39,47
Proceso 24,24,48
Proceso 31,31,48
Proceso 36,36,53
Proceso 30,30,55
Proceso 40,40,56
Proceso 32,32,57
Proceso 50,50,59
Proceso 43,43,60
Proceso 51,51,61
Proceso 35,35,61
Proceso 44,44,62
Proceso 45,45,63
Proceso 46,46,64
Proceso 47,47,65
Proceso 55,55,66
Proceso 48,48,66
Proceso 56,56,67
Proceso 57,57,67
Proceso 49,49,68
Proceso 41,41,69
Proceso 42,42,70
Proceso 60,60,71
Proceso 61,61,71
Proceso 53,53,73
Proceso 65,65,75
Proceso 67,67,77
Proceso 58,58,78
Proceso 69,69,79
Proceso 59,59,79
Proceso 52,52,82
Proceso 63,63,84
Proceso 54,54,87
Proceso 66,66,88
Proceso 77,77,88
Proceso 68,68,89
Proceso 79,79,90
Proceso 81,81,93
Proceso 62,62,94
Proceso 82,82,94
Proceso 73,73,95
Proceso 83,83,95
Proceso 72,72,96
Proceso 74,74,97
Proceso 64,64,98
Proceso 86,86,99
Proceso 76,76,99
Proceso 90,90,102
Proceso 91,91,102
Proceso 80,80,103
Proceso 70,70,103
Proceso 71,71,104
Proceso 85,85,108
Proceso 75,75,110
Proceso 99,99,111
Proceso 87,87,112
Proceso 100,100,113
Proceso 89,89,113
Proceso 78,78,114
Proceso 92,92,117
Proceso 93,93,118
Proceso 95,95,120
Proceso 108,108,122
Proceso 96,96,123
Proceso 97,97,124
Proceso 110,110,124
Proceso 113,113,128
Proceso 114,114,129
Proceso 102,102,129
Proceso 116,116,132
Proceso 104,104,132
Proceso 105,105,133
Proceso 94,94,135
Proceso 107,107,136
Proceso 121,121,137
Proceso 84,84,137
Proceso 123,123,140
Proceso 98,98,141
Proceso 88,88,143
Proceso 101,101,145
Proceso 128,128,146
Proceso 129,129,146
Proceso 115,115,147
Proceso 103,103,148
Proceso 133,133,151
Proceso 119,119,153
Proceso 136,136,155
Proceso 109,109,157
Proceso 140,140,159
Proceso 141,141,160
Proceso 125,125,160
Proceso 111,111,161
Proceso 126,126,162
Proceso 112,112,164
Proceso 117,117,167
Proceso 147,147,168
Proceso 118,118,169
Proceso 106,106,170
Proceso 134,134,170
Proceso 135,135,172
Proceso 120,120,172
Proceso 137,137,173
Proceso 122,122,174
Proceso 124,124,175
Proceso 154,154,178
Proceso 142,142,180
Proceso 143,143,181
Proceso 127,127,181
Proceso 157,157,182
Proceso 158,158,183
Proceso 130,130,185
Proceso 131,131,186
Proceso 132,132,186
Proceso 160,160,187
Proceso 150,150,192
Proceso 168,168,195
Proceso 138,138,195
Proceso 139,139,196
Proceso 170,170,197
Proceso 152,152,198
Proceso 171,171,199
Proceso 156,156,201
Proceso 177,177,204
Proceso 178,178,205
Proceso 144,144,206
Proceso 182,182,209
Proceso 161,161,210
Proceso 148,148,211
Proceso 165,165,213
Proceso 151,151,215
Proceso 185,185,216
Proceso 187,187,217
Proceso 169,169,218
Proceso 172,172,220
Proceso 155,155,221
Proceso 190,190,222
Proceso 174,174,222
Proceso 175,175,223
Proceso 192,192,226
Proceso 159,159,227
Proceso 145,145,228
Proceso 146,146,228
Proceso 181,181,229
Proceso 162,162,231
Proceso 164,164,232
Proceso 163,163,232
Proceso 149,149,233
Proceso 166,166,234
Proceso 167,167,235
Proceso 197,197,235
Proceso 198,198,237
Proceso 153,153,238
Proceso 189,189,239
Proceso 173,173,240
Proceso 176,176,240
Proceso 191,191,241
Proceso 183,183,245
Proceso 186,186,246
Proceso 184,184,246
Proceso 188,188,247
Proceso 179,179,248
Proceso 193,193,248
Proceso 194,194,249
Proceso 180,180,249
Proceso 195,195,250
Proceso 196,196,250
Proceso 199,199,251
