Proceso,Tiempo de Inicio,Tiempo de Finalización
Proceso 0,0,3
Proceso 1,5,7
Proceso 2,6,8
Proceso 3,8,9
Proceso 4,12,15
Proceso 5,16,17
Proceso 6,19,21
Proceso 7,20,23
Proceso 9,26,27
Proceso 8,25,29
Proceso 10,28,33
Proceso 11,31,33
Proceso 12,33,36
Proceso 13,37,40
Proceso 14,39,40
Proceso 15,40,44
Proceso 16,44,46
Proceso 17,48,49
Proceso 18,50,51
Proceso 19,51,52
Proceso 20,52,56
Proceso 21,55,56
Proceso 22,57,59
Proceso 23,59,62
Proceso 24,62,65
Proceso 25,63,68
Proceso 26,66,69
Proceso 27,71,72
Proceso 28,73,78
Proceso 29,77,78
Proceso 30,82,85
Proceso 31,84,85
Proceso 32,87,91
Proceso 33,91,95
Proceso 34,94,96
Proceso 35,97,98
Proceso 36,101,103
Proceso 37,103,107
Proceso 38,105,107
Proceso 39,107,112
Proceso 41,113,114
Proceso 40,112,115
Proceso 42,116,117
Proceso 43,118,120
Proceso 44,121,123
Proceso 45,126,130
Proceso 46,128,131
Proceso 47,130,131
Proceso 49,136,138
Proceso 48,135,139
Proceso 50,137,140
Proceso 51,139,140
Proceso 52,144,147
Proceso 53,149,150
Proceso 54,150,152
Proceso 55,151,154
Proceso 57,155,156
Proceso 56,154,157
Proceso 58,158,159
Proceso 59,163,164
Proceso 60,166,169
Proceso 61,171,173
Proceso 62,173,177
Proceso 63,177,180
Proceso 64,181,184
Proceso 65,182,188
Proceso 66,186,188
Proceso 67,190,191
Proceso 68,191,195
Proceso 69,195,196
Proceso 70,199,202
Proceso 71,203,206
Proceso 72,204,206
Proceso 73,206,211
Proceso 74,211,213
Proceso 75,214,218
Proceso 77,219,224
Proceso 79,222,225
Proceso 76,217,226
Proceso 78,220,227
Proceso 80,227,229
Proceso 81,229,232
Proceso 82,233,238
Proceso 83,236,240
Proceso 84,237,241
Proceso 85,240,242
Proceso 86,245,246
Proceso 87,246,250
Proceso 88,249,250
Proceso 89,254,256
Proceso 90,258,259
Proceso 91,259,260
Proceso 92,261,262
Proceso 93,264,267
Proceso 94,266,270
Proceso 95,269,272
Proceso 96,274,275
Proceso 98,280,285
Proceso 99,282,286
Proceso 97,279,287
Proceso 100,283,290
Proceso 101,287,292
Proceso 102,292,293
Proceso 103,295,299
Proceso 104,296,299
Proceso 105,299,301
Proceso 106,302,306
Proceso 107,307,308
Proceso 108,310,311
Proceso 109,314,318
Proceso 110,316,320
Proceso 111,318,321
Proceso 112,323,327
Proceso 113,326,329
Proceso 114,330,334
Proceso 116,336,341
Proceso 117,338,341
Proceso 115,335,342
Proceso 118,340,345
Proceso 119,344,346
Proceso 120,349,353
Proceso 121,352,355
Proceso 122,355,359
Proceso 123,358,362
Proceso 124,359,364
Proceso 125,364,365
Proceso 126,368,369
Proceso 127,370,372
Proceso 128,372,373
Proceso 129,376,380
Proceso 130,378,380
Proceso 132,381,382
Proceso 131,379,384
Proceso 134,387,388
Proceso 133,386,389
Proceso 135,390,392
Proceso 136,391,392
Proceso 138,397,399
Proceso 137,396,400
Proceso 139,400,402
Proceso 140,403,405
Proceso 141,407,408
Proceso 142,410,415
Proceso 143,413,415
Proceso 144,416,417
Proceso 145,420,424
Proceso 146,425,429
Proceso 147,428,432
Proceso 148,429,434
Proceso 149,430,436
Proceso 150,435,438
Proceso 151,437,438
Proceso 153,443,445
Proceso 154,444,446
Proceso 152,442,447
Proceso 155,446,451
Proceso 156,448,452
Proceso 157,452,454
Proceso 158,456,457
Proceso 159,459,460
Proceso 160,461,464
Proceso 161,462,465
Proceso 162,466,471
Proceso 163,468,472
Proceso 164,472,476
Proceso 165,475,477
Proceso 166,480,481
Proceso 167,482,484
Proceso 168,485,489
Proceso 169,488,489
Proceso 170,491,493
Proceso 172,493,496
Proceso 171,492,497
Proceso 173,496,498
Proceso 174,497,498
Proceso 175,499,500
Proceso 176,501,506
Proceso 177,505,506
Proceso 178,506,508
Proceso 179,509,513
Proceso 180,511,514
Proceso 181,512,516
Proceso 183,518,519
Proceso 182,517,522
Proceso 184,521,524
Proceso 185,525,529
Proceso 186,530,531
Proceso 187,531,535
Proceso 188,534,535
Proceso 189,535,536
Proceso 190,538,539
Proceso 191,540,543
Proceso 192,544,546
Proceso 193,546,548
Proceso 194,547,552
Proceso 195,552,556
Proceso 196,557,558
Proceso 197,561,563
Proceso 198,564,568
Proceso 199,568,569
