Proceso,Tiempo de Inicio,Tiempo de Finalización
Proceso 0,0,1
Proceso 1,1,2
Proceso 2,2,6
Proceso 4,4,7
Proceso 3,3,8
Proceso 5,5,9
Proceso 6,6,15
Proceso 10,10,16
Proceso 7,7,17
Proceso 11,11,18
Proceso 8,8,19
Proceso 12,12,20
Proceso 13,13,21
Proceso 9,9,22
Proceso 14,14,23
Proceso 16,16,25
Proceso 18,18,27
Proceso 19,19,28
Proceso 20,20,29
Proceso 23,23,32
Proceso 15,15,33
Proceso 24,24,34
Proceso 25,25,35
Proceso 17,17,36
Proceso 26,26,37
Proceso 28,28,39
Proceso 29,29,40
Proceso 21,21,41
Proceso 22,22,43
Proceso 31,31,44
Proceso 34,34,47
Proceso 36,36,49
Proceso 37,37,50
Proceso 27,27,51
Proceso 40,40,54
Proceso 30,30,56
Proceso 42,42,57
Proceso 32,32,60
Proceso 33,33,63
Proceso 46,46,64
Proceso 47,47,65
Proceso 35,35,66
Proceso 50,50,69
Proceso 38,38,72
Proceso 52,52,73
Proceso 39,39,74
Proceso 53,53,75
Proceso 54,54,76
Proceso 41,41,77
Proceso 55,55,78
Proceso 56,56,79
Proceso 57,57,80
Proceso 43,43,81
Proceso 44,44,83
Proceso 59,59,84
Proceso 60,60,85
Proceso 45,45,87
Proceso 63,63,89
Proceso 64,64,90
Proceso 66,66,92
Proceso 48,48,93
Proceso 67,67,94
Proceso 49,49,95
Proceso 51,51,100
Proceso 74,74,106
Proceso 75,75,107
Proceso 79,79,112
Proceso 80,80,113
Proceso 81,81,114
Proceso 58,58,115
Proceso 82,82,116
Proceso 83,83,117
Proceso 85,85,119
Proceso 61,61,120
Proceso 87,87,123
Proceso 62,62,124
Proceso 88,88,125
Proceso 90,90,127
Proceso 65,65,128
Proceso 91,91,129
Proceso 92,92,130
Proceso 93,93,131
Proceso 94,94,132
Proceso 95,95,133
Proceso 68,68,134
Proceso 69,69,136
Proceso 97,97,137
Proceso 70,70,139
Proceso 99,99,140
Proceso 100,100,141
Proceso 101,101,142
Proceso 71,71,143
Proceso 102,102,144
Proceso 72,72,145
Proceso 73,73,146
Proceso 76,76,148
Proceso 77,77,149
Proceso 78,78,150
Proceso 104,104,151
Proceso 105,105,152
Proceso 106,106,153
Proceso 107,107,154
Proceso 108,108,155
Proceso 84,84,156
Proceso 109,109,157
Proceso 86,86,160
Proceso 113,113,164
Proceso 114,114,165
Proceso 89,89,166
Proceso 116,116,168
Proceso 117,117,169
Proceso 118,118,170
Proceso 119,119,171
Proceso 122,122,175
Proceso 96,96,178
Proceso 124,124,179
Proceso 127,127,184
Proceso 98,98,185
Proceso 128,128,186
Proceso 129,129,187
Proceso 130,130,188
Proceso 131,131,189
Proceso 132,132,190
Proceso 103,103,191
Proceso 133,133,192
Proceso 134,134,193
Proceso 135,135,194
Proceso 137,137,196
Proceso 138,138,197
Proceso 139,139,198
Proceso 140,140,199
Proceso 141,141,200
Proceso 110,110,201
Proceso 111,111,203
Proceso 112,112,204
Proceso 143,143,205
Proceso 144,144,206
Proceso 145,145,207
Proceso 115,115,208
Proceso 120,120,211
Proceso 121,121,212
Proceso 123,123,215
Proceso 125,125,216
Proceso 126,126,217
Proceso 151,151,219
Proceso 152,152,220
Proceso 153,153,221
Proceso 154,154,222
Proceso 155,155,223
Proceso 157,157,225
Proceso 161,161,231
Proceso 136,136,232
Proceso 162,162,233
Proceso 163,163,234
Proceso 165,165,236
Proceso 166,166,237
Proceso 167,167,238
Proceso 142,142,240
Proceso 169,169,241
Proceso 171,171,244
Proceso 174,174,247
Proceso 175,175,248
Proceso 146,146,250
Proceso 147,147,251
Proceso 178,178,253
Proceso 179,179,254
Proceso 148,148,255
Proceso 149,149,256
Proceso 180,180,257
Proceso 181,181,258
Proceso 150,150,260
Proceso 183,183,261
Proceso 184,184,262
Proceso 186,186,264
Proceso 156,156,265
Proceso 158,158,266
Proceso 159,159,267
Proceso 160,160,268
Proceso 187,187,269
Proceso 190,190,272
Proceso 164,164,273
Proceso 191,191,274
Proceso 192,192,275
Proceso 168,168,281
Proceso 196,196,282
Proceso 170,170,283
Proceso 172,172,287
Proceso 173,173,288
Proceso 176,176,291
Proceso 202,202,294
Proceso 203,203,295
Proceso 177,177,296
Proceso 207,207,301
Proceso 182,182,302
Proceso 208,208,303
Proceso 210,210,306
Proceso 185,185,307
Proceso 211,211,308
Proceso 213,213,311
Proceso 214,214,312
Proceso 215,215,313
Proceso 188,188,314
Proceso 189,189,315
Proceso 217,217,318
Proceso 193,193,320
Proceso 194,194,321
Proceso 195,195,322
Proceso 220,220,324
Proceso 197,197,327
Proceso 198,198,328
Proceso 199,199,331
Proceso 200,200,332
Proceso 201,201,333
Proceso 224,224,334
Proceso 225,225,335
Proceso 204,204,336
Proceso 205,205,337
Proceso 206,206,338
Proceso 226,226,339
Proceso 228,228,342
Proceso 209,209,345
Proceso 232,232,350
Proceso 233,233,351
Proceso 212,212,352
Proceso 235,235,354
Proceso 237,237,356
Proceso 238,238,357
Proceso 216,216,358
Proceso 240,240,361
Proceso 218,218,362
Proceso 242,242,364
Proceso 243,243,365
Proceso 219,219,366
Proceso 244,244,367
Proceso 221,221,369
Proceso 246,246,370
Proceso 222,222,371
Proceso 223,223,372
Proceso 248,248,374
Proceso 227,227,377
Proceso 229,229,378
Proceso 230,230,379
Proceso 231,231,380
Proceso 234,234,381
Proceso 236,236,382
Proceso 239,239,383
Proceso 241,241,384
Proceso 245,245,385
Proceso 247,247,386
Proceso 249,249,387
