Proceso,Tiempo de Inicio,Tiempo de Finalización
Proceso 0,0,1
Proceso 1,1,5
Proceso 2,5,6
Proceso 3,8,13
Proceso 4,13,16
Proceso 5,16,19
Proceso 6,20,21
Proceso 7,23,25
Proceso 9,27,28
Proceso 8,24,29
Proceso 10,29,30
Proceso 11,30,33
Proceso 12,35,37
Proceso 13,40,41
Proceso 14,44,46
Proceso 16,48,49
Proceso 15,46,50
Proceso 17,52,55
Proceso 18,55,56
Proceso 19,59,61
Proceso 20,61,66
Proceso 21,64,66
Proceso 22,65,67
Proceso 23,66,70
Proceso 24,70,73
Proceso 25,73,75
Proceso 26,76,79
Proceso 27,78,79
Proceso 28,82,83
Proceso 29,83,85
Proceso 30,86,89
Proceso 31,88,92
Proceso 32,91,95
Proceso 33,93,97
Proceso 34,95,98
Proceso 35,96,101
Proceso 36,99,101
Proceso 37,104,108
Proceso 39,109,110
Proceso 38,107,111
Proceso 40,112,113
Proceso 41,114,118
Proceso 42,119,124
Proceso 43,124,127
Proceso 44,129,130
Proceso 45,133,135
Proceso 48,140,142
Proceso 46,137,142
Proceso 47,138,143
Proceso 49,144,146
