Proceso,Tiempo de Inicio,Tiempo de Finalización
Proceso 0,0,5
Proceso 1,5,6
Proceso 2,9,11
Proceso 4,16,18
Proceso 3,13,19
Proceso 5,17,23
Proceso 6,22,24
Proceso 7,24,28
Proceso 9,28,30
Proceso 8,27,34
Proceso 10,31,35
Proceso 11,33,36
Proceso 12,34,37
Proceso 13,38,40
Proceso 14,40,44
Proceso 15,43,46
Proceso 16,45,49
Proceso 17,46,50
Proceso 18,49,52
Proceso 19,53,56
Proceso 20,58,59
Proceso 21,62,63
Proceso 22,63,65
Proceso 23,68,69
Proceso 24,72,73
Proceso 25,77,79
Proceso 26,81,83
Proceso 27,84,86
Proceso 28,86,87
Proceso 29,88,92
Proceso 30,92,97
Proceso 31,94,101
Proceso 32,96,102
Proceso 33,101,106
Proceso 34,105,112
Proceso 36,111,114
Proceso 37,112,115
Proceso 35,106,116
Proceso 40,118,121
Proceso 38,115,123
Proceso 39,116,124
Proceso 42,125,127
Proceso 41,123,130
Proceso 43,130,131
Proceso 44,132,135
Proceso 45,134,140
Proceso 46,136,142
Proceso 47,138,147
Proceso 49,144,148
Proceso 48,139,149
Proceso 50,149,150
Proceso 51,153,156
Proceso 53,157,159
Proceso 52,156,161
Proceso 54,162,165
Proceso 55,167,174
Proceso 56,171,177
Proceso 57,174,179
Proceso 58,175,180
Proceso 59,178,188
Proceso 61,182,191
Proceso 60,179,192
Proceso 64,188,193
Proceso 63,185,195
Proceso 62,184,198
Proceso 65,193,199
Proceso 66,197,200
Proceso 68,199,202
Proceso 69,202,207
Proceso 67,198,208
Proceso 70,206,212
Proceso 71,211,215
Proceso 72,214,220
Proceso 73,219,222
Proceso 74,221,225
Proceso 77,227,230
Proceso 75,224,231
Proceso 76,226,233
Proceso 81,232,238
Proceso 82,233,239
Proceso 79,229,240
Proceso 78,228,243
Proceso 84,238,246
Proceso 80,231,248
Proceso 87,247,253
Proceso 83,237,255
Proceso 85,240,257
Proceso 86,242,258
Proceso 88,251,259
Proceso 89,256,260
Proceso 90,257,265
Proceso 91,262,266
Proceso 92,265,272
Proceso 93,268,274
Proceso 94,273,280
Proceso 95,276,281
Proceso 96,279,285
Proceso 97,284,287
Proceso 98,287,289
Proceso 99,290,292
Proceso 100,294,295
Proceso 101,296,297
Proceso 102,297,298
Proceso 103,298,310
Proceso 107,306,311
Proceso 104,299,312
Proceso 105,300,313
Proceso 106,304,314
Proceso 109,312,324
Proceso 110,317,325
Proceso 108,311,328
Proceso 112,326,329
Proceso 113,328,331
Proceso 111,322,334
Proceso 114,329,335
Proceso 115,333,337
Proceso 116,336,338
Proceso 117,337,341
Proceso 118,342,351
Proceso 121,347,352
Proceso 119,344,356
Proceso 120,346,357
Proceso 124,356,361
Proceso 123,354,362
Proceso 122,351,364
Proceso 127,363,368
Proceso 126,362,369
Proceso 125,359,371
Proceso 128,366,373
Proceso 129,368,375
Proceso 131,374,379
Proceso 130,371,381
Proceso 132,377,383
Proceso 133,382,384
Proceso 134,385,388
Proceso 135,387,390
Proceso 136,390,394
Proceso 137,393,395
Proceso 139,395,397
Proceso 138,394,398
Proceso 140,397,399
Proceso 141,399,401
Proceso 142,402,405
Proceso 143,407,411
Proceso 144,408,412
Proceso 145,411,413
Proceso 146,416,417
Proceso 147,420,422
Proceso 148,424,427
Proceso 149,429,434
